Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1191111,2300,76.18000000000001,74.28,76.31999999999999,73.59999999999999,76.18000000000001,74.28,76.31999999999999,73.59999999999999,32.80,5801909.00,2.72,3.90,9.48,15.19
1191112,2300,73.72,73.40000000000001,74.12,72.8,73.72,73.40000000000001,74.12,72.8,31.66,6735174.00,1.48,3.81,5.10,9.84
1191113,2300,74.2,73.92,74.52,73.12,74.2,73.92,74.52,73.12,33.13,7079039.00,1.40,3.70,7.58,7.38
1191114,2300,74.12,72.72,74.76000000000001,72.72,74.12,72.72,74.76000000000001,72.72,31.45,5623836.00,2.04,3.63,5.79,6.15
1191115,2300,71.59999999999999,69.59999999999999,71.92,69.52,71.59999999999999,69.59999999999999,71.92,69.52,27.54,9399849.00,3.20,3.63,3.87,5.75
1191118,2300,69.59999999999999,69.52,70.31999999999999,69.04000000000001,69.59999999999999,69.52,70.31999999999999,69.04000000000001,27.44,6130753.00,1.28,3.58,1.64,3.77
1191119,2300,69.16,70.28,70.64,68.88,69.16,70.28,70.64,68.88,29.90,7577149.00,1.76,3.55,5.30,3.60
1191120,2300,70.52,71.0,73.56,69.52,70.52,71.0,73.56,69.52,32.24,11494467.00,4.04,3.58,11.68,6.20
1191121,2300,70.56,71.16,72.56,70.36,70.56,71.16,72.56,70.36,32.78,7741556.00,2.20,3.56,18.70,11.89
1191122,2300,70.04000000000001,69.12,70.8,69.04000000000001,70.04000000000001,69.12,70.8,69.04000000000001,29.56,6660302.00,2.12,3.55,16.20,15.52
1191125,2300,67.59999999999999,66.12,67.59999999999999,65.84,67.59999999999999,66.12,67.59999999999999,65.84,25.58,7065422.00,3.28,3.56,8.84,14.58
1191126,2300,65.59999999999999,65.16,66.0,64.8,65.59999999999999,65.16,66.0,64.8,24.45,7297129.00,1.32,3.55,2.55,9.19
1191127,2300,64.62,64.84,64.88,64.40000000000001,64.62,64.84,64.88,64.40000000000001,24.06,4758998.00,0.76,3.47,2.87,4.75
1191129,2300,65.40000000000001,66.16,66.16,65.12,65.40000000000001,66.16,66.16,65.12,29.00,4319729.00,1.32,3.44,6.93,4.12
